objectid,length,name,oneway,fnode,tnode,,,,,,,,
"2,343",5,CLEVELAND, ,171666187336,171671187337,,,,,,,,
"2,389",11,OLD BARKSDALE, ,170403186343,170394186350,,,,,,,,
"19,392",12,HILLSIDE, ,170550186834,170546186823,,,,,,,,
"2,385",12,APPLE, ,170353186303,170361186294,,,,,,,,
384,16,MAIN, ,169732187447,169746187440,,,,,,,,
"2,337",18,COLLEGE, ,171014187301,171014187319,,,,,,,,
"19,288",25,LINCOLN, ,169964185971,169946185990,,,,,,,,
"2,406",26,BARKSDALE, ,170139186518,170163186528,,,,,,,,
"19,287",26,COLLEGE, ,169922185988,169946185990,,,,,,,,
"33,424",31,RENEE, ,170302187746,170276187729,,,,,,,,
"2,347",34,NEW LONDON, ,170603187334,170589187365,,,,,,,,
"17,736",36,ANNABELLE, ,171641187473,171621187502,,,,,,,,
"40,556",37,MAIN,y,171092186888,171055186886,,,,,,,,
"19,304",39,QUINCEY, ,169951186129,169991186134,,,,,,,,
"19,320",41,MADISON DR, ,169982186189,170017186210,,,,,,,,
"19,306",44,MADISON, ,169715186144,169688186110,,,,,,,,
366,45,CHAPEL, ,171694187301,171666187336,,,,,,,,
"17,703",45,AMSTEL, ,170739186668,170699186689,,,,,,,,
"19,457",45,TERRY, ,170496187315,170452187324,,,,,,,,
"19,493",48,LAWSON, ,171641187473,171680187501,,,,,,,,
"37,455",49,SAW MILL, ,169335186356,169339186307,,,,,,,,
"1,120",49,ELKTON,y,170172186092,170205186128,,,,,,,,
"2,439",49,CLEVELAND, ,170695187161,170739187182,,,,,,,,
"19,494",49,VASSAR, ,169234187492,169192187516,,,,,,,,
"37,456",49,SAW MILL, ,169329186405,169335186356,,,,,,,,
"19,303",50,THORN, ,169688186110,169643186130,,,,,,,,
"19,497",52,VASSAR, ,169192187516,169145187539,,,,,,,,
"17,653",52,ADAMS, ,169675185895,169723185915,,,,,,,,
"19,423",53,PHEASANT, ,169216187060,169163187059,,,,,,,,
"37,454",54,SLUICE, ,169335186356,169282186345,,,,,,,,
"17,695",55,BENT, ,169229186580,169283186581,,,,,,,,
"19,389",55,RAHWAY, ,169221186805,169166186803,,,,,,,,
"19,402",56,HILLSIDE, ,170570186886,170550186834,,,,,,,,
"19,318",56,MADISON, ,169991186134,169982186189,,,,,,,,
"19,432",56,LAFAYETTE, ,169215187147,169271187147,,,,,,,,
"19,295",57,CONNELL, ,169613185992,169625186047,,,,,,,,
"19,351",57,PICKETT, ,169235186465,169178186463,,,,,,,,
"2,379",57,CASHO MILL, ,169318186179,169299186233,,,,,,,,
"19,523",60,CURTIS, ,171497187796,171484187737,,,,,,,,
"19,469",60,MARGARET, ,171666187336,171699187388,,,,,,,,
"19,454",61,TERRY, ,170552187294,170496187315,,,,,,,,
"19,281",61,LINCOLN, ,170009185931,169964185971,,,,,,,,
"40,526",62,ELKTON,y,170394186350,170353186303,,,,,,,,
"39,821",62,RADCLIFFE, ,169607186793,169584186849,,,,,,,,
379,64,MAIN, ,170397187120,170455187092,,,,,,,,
"1,172",65,ELKTON,y,170361186294,170403186343,,,,,,,,
"19,467",66,KENNARD, ,170496187315,170506187381,,,,,,,,
"17,677",67,CASHO MILL, ,169342186116,169318186179,,,,,,,,
"40,563",69,MAIN,y,171689186945,171620186938,,,,,,,,
"19,357",69,HAINES, ,171662186524,171668186455,,,,,,,,
"40,508",71,ELKTON,y,170055185986,170009185931,,,,,,,,
"19,207",72,PATRICK HENRY, ,169445186241,169469186173,,,,,,,,
"19,327",72,WINSLOW, ,170714186272,170642186273,,,,,,,,
"2,352",73,NEW LONDON, ,170589187365,170564187433,,,,,,,,
"2,442",74,CASHO MILL, ,169215187147,169209187221,,,,,,,,
"17,728",74,CENTER, ,171520187077,171510187151,,,,,,,,
"39,826",75,RADCLIFFE, ,169678187297,169704187367,,,,,,,,
"2,377",76,CHAPEL, ,171945186149,171924186222,,,,,,,,
"17,681",76,APPLE, ,170361186294,170415186240,,,,,,,,
"2,407",77,CHAPEL, ,171874186484,171860186560,,,,,,,,
391,77,NOTTINGHAM, ,169171187718,169241187685,,,,,,,,
"19,337",78,NATHAN HALE, ,169520186275,169550186204,,,,,,,,
"19,427",78,LINDEN, ,171520187077,171597187088,,,,,,,,
"40,561",79,MAIN,y,171620186938,171542186931,,,,,,,,
"2,399",79,CASHO MILL, ,169242186387,169235186465,,,,,,,,
"2,342",80,CLEVELAND, ,171587187323,171666187336,,,,,,,,
"17,572",80,APPLE, ,170415186240,170441186165,,,,,,,,
"19,464",80,CORBIT, ,170589187365,170552187294,,,,,,,,
"19,350",81,LOVETT, ,171749186464,171668186455,,,,,,,,
"19,336",83,COLONIAL, ,169520186275,169445186241,,,,,,,,
"19,290",83,O DANIEL, ,169613185992,169543185956,,,,,,,,
"39,824",83,RADCLIFFE, ,169616187056,169629187138,,,,,,,,
"40,560",84,MAIN,y,171542186931,171458186923,,,,,,,,
"41,561",85,RADCLIFFE,y,169704187367,169746187440,,,,,,,,
"19,375",85,VASSAR, ,169283186581,169281186666,,,,,,,,
"19,811",85,RADCLIFFE,y,169732187447,169704187367,,,,,,,,
376,86,MAIN, ,170804186920,170882186884,,,,,,,,
"2,437",86,CASHO MILL, ,169216187060,169215187147,,,,,,,,
"19,372",87,OLD OAK, ,170173186644,170137186566,,,,,,,,
"19,434",88,LAFAYETTE, ,169271187147,169359187150,,,,,,,,
"2,395",89,BARKSDALE, ,169242186387,169329186405,,,,,,,,
"19,435",89,LAFAYETTE, ,169359187150,169448187152,,,,,,,,
"19,445",89,WILSON, ,170510187205,170589187166,,,,,,,,
"19,438",89,LAFAYETTE, ,169541187153,169629187138,,,,,,,,
"19,465",91,KERSHAW, ,171433187281,171407187368,,,,,,,,
"19,396",91,OLD OAK, ,170268186848,170230186765,,,,,,,,
"19,382",92,HILLSIDE, ,170504186739,170464186655,,,,,,,,
"17,698",92,BRIAR, ,169796186619,169882186584,,,,,,,,
"40,517",92,ELKTON,y,170268186212,170204186145,,,,,,,,
"19,205",93,PARK, ,170469185970,170377185967,,,,,,,,
"19,437",93,LAFAYETTE, ,169448187152,169541187153,,,,,,,,
"39,823",93,RADCLIFFE, ,169601186964,169616187056,,,,,,,,
"19,391",94,HILLSIDE, ,170546186823,170504186739,,,,,,,,
"19,455",95,DALLAM, ,169586187319,169678187297,,,,,,,,
"2,350",96,COLLEGE, ,171014187319,171037187412,,,,,,,,
"19,418",96,WILSON, ,169986186896,170042186972,,,,,,,,
"17,673",97,BEVERLY, ,170615186069,170614186165,,,,,,,,
"19,335",97,ETHAN ALLEN, ,169423186269,169520186275,,,,,,,,
"17,668",98,APPLE, ,170456186067,170469185970,,,,,,,,
"19,448",98,CORBIT, ,170552187294,170510187205,,,,,,,,
"19,443",98,NEW, ,171647187176,171744187194,,,,,,,,
"19,442",99,DALLAM, ,169889187182,169977187138,,,,,,,,
"1,201",99,ELKTON,y,170699186689,170761186765,,,,,,,,
"19,271",99,WESTFIELD, ,169464185870,169548185826,,,,,,,,
"17,672",100,APPLE, ,170441186165,170456186067,,,,,,,,
"19,310",100,SUNSET, ,170715186166,170614186165,,,,,,,,
"17,669",101,BEVERLY, ,170601185971,170615186069,,,,,,,,
"19,385",101,VASSAR, ,169281186666,169279186767,,,,,,,,
"40,565",101,MAIN,y,171789186955,171689186945,,,,,,,,
365,102,MAIN, ,169963187334,170055187289,,,,,,,,
"17,715",102,BRIAR, ,169684186865,169668186764,,,,,,,,
"19,447",102,DALLAM, ,169797187227,169889187182,,,,,,,,
"19,292",102,MANUAL, ,171630186017,171626185914,,,,,,,,
"17,735",103,ANNABELLE, ,171699187388,171641187473,,,,,,,,
"40,548",103,ELKTON,y,170761186765,170690186692,,,,,,,,
"19,323",103,MADISON, ,169982186189,169901186243,,,,,,,,
367,103,MAIN, ,169871187379,169963187334,,,,,,,,
"1,121",103,ELKTON,y,170205186128,170277186202,,,,,,,,
"19,486",103,MARGARET, ,171699187388,171750187477,,,,,,,,
"17,662",104,ACADEMY, ,171367186028,171354185925,,,,,,,,
"19,274",104,MANUAL, ,171626185914,171627185810,,,,,,,,
"19,483",105,TUFTS, ,169395187384,169467187450,,,,,,,,
"17,714",105,BENT, ,169607186793,169684186865,,,,,,,,
"19,462",105,WILBUR, ,171238187335,171253187230,,,,,,,,
"19,334",105,ORCHARD, ,170820186168,170819186273,,,,,,,,
"19,296",105,PEACH, ,170377185967,170356186067,,,,,,,,
"19,325",105,TOWNSEND, ,170714186272,170715186166,,,,,,,,
"19,312",106,SUNSET, ,170820186168,170715186166,,,,,,,,
"19,333",106,WINSLOW, ,170819186273,170714186272,,,,,,,,
"2,327",106,CHAPEL, ,172000185944,171972186046,,,,,,,,
"2,331",106,CHAPEL, ,171972186046,171945186149,,,,,,,,
"19,475",106,TUFTS, ,169294187401,169395187384,,,,,,,,
"19,285",107,PARK, ,170822185974,170716185974,,,,,,,,
"19,481",107,WILBUR, ,171217187438,171238187335,,,,,,,,
"2,382",107,SMYRNA CLAYTON, ,171099186168,171098186275,,,,,,,,
"2,448",107,COLLEGE, ,171025187194,171014187301,,,,,,,,
"2,340",109,CLEVELAND, ,171587187323,171694187301,,,,,,,,
"19,489",109,VASSAR, ,169294187401,169234187492,,,,,,,,
"19,364",109,ORCHARD, ,170865186494,170910186592,,,,,,,,
"17,680",111,BEVERLY, ,170614186165,170642186273,,,,,,,,
"19,373",111,HULLIHEN, ,170173186644,170277186647,,,,,,,,
"19,517",112,GRAYS, ,170459187738,170361187685,,,,,,,,
"19,265",112,MANNS, ,170704185834,170592185831,,,,,,,,
"19,429",112,CHURCH, ,170758187060,170861187104,,,,,,,,
"19,282",114,PARK, ,170716185974,170601185971,,,,,,,,
"2,411",115,CASHO MILL, ,169235186465,169229186580,,,,,,,,
"39,370",115,EMILY BELL, ,170525187563,170420187516,,,,,,,,
"2,408",116,COLLEGE, ,171097186444,171095186560,,,,,,,,
"39,822",117,RADCLIFFE, ,169584186849,169601186964,,,,,,,,
"19,291",117,HAINES, ,171779185994,171853185904,,,,,,,,
"17,656",117,ACADEMY, ,171354185925,171356185808,,,,,,,,
"19,201",118,O DANIEL, ,169543185956,169464185870,,,,,,,,
"19,422",118,FISKE, ,169472187029,169386186949,,,,,,,,
382,119,CHAPEL, ,171744187194,171694187301,,,,,,,,
"19,289",119,O DANIEL, ,169675185895,169613185992,,,,,,,,
"19,268",119,MANNS, ,170823185839,170704185834,,,,,,,,
"3,743",119,NEW LONDON,y,170758187060,170695187161,,,,,,,,
"2,393",120,OLD BARKSDALE, ,170394186350,170282186393,,,,,,,,
"19,204",120,PARK, ,170377185967,170257185968,,,,,,,,
